"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score MS Amanda 2.0: MS Amanda 2.0"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): MS Amanda 2.0"	"# Peptides (by Search Engine): Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Gene ID"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance Ratio: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Adj. P-Value: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Variability [%]: (Aortic_Aneurism) / (Healthy)"	"Abundances (Grouped): Aortic_Aneurism"	"Abundances (Grouped): Healthy"	"Abundances (Grouped) CV [%]: Aortic_Aneurism"	"Abundances (Grouped) CV [%]: Healthy"	"Found in Sample: [S1] F1: Sample, 10364, Aortic_Aneurism, 1"	"Found in Sample: [S2] F2: Sample, 10364, Aortic_Aneurism, 2"	"Found in Sample: [S3] F3: Sample, 10367, Aortic_Aneurism, 1"	"Found in Sample: [S4] F4: Sample, 10367, Aortic_Aneurism, 2"	"Found in Sample: [S5] F5: Sample, VD2100020, Aortic_Aneurism, 1"	"Found in Sample: [S6] F6: Sample, VD2100020, Aortic_Aneurism, 2"	"Found in Sample: [S7] F7: Sample, VD2100023, Aortic_Aneurism, 1"	"Found in Sample: [S8] F8: Sample, VD2100023, Aortic_Aneurism, 2"	"Found in Sample: [S9] F9: Sample, VD2100042, Aortic_Aneurism, 1"	"Found in Sample: [S10] F10: Sample, VD2100042, Aortic_Aneurism, 2"	"Found in Sample: [S11] F11: Sample, VD2100089, Aortic_Aneurism, 1"	"Found in Sample: [S12] F12: Sample, VD2100089, Aortic_Aneurism, 2"	"Found in Sample: [S13] F13: Sample, VD2100127, Aortic_Aneurism, 1"	"Found in Sample: [S14] F14: Sample, VD2100127, Aortic_Aneurism, 2"	"Found in Sample: [S15] F15: Sample, VD2100143, Aortic_Aneurism, 1"	"Found in Sample: [S16] F16: Sample, VD2100143, Aortic_Aneurism, 2"	"Found in Sample: [S17] F17: Sample, VD2200046, Aortic_Aneurism, 1"	"Found in Sample: [S18] F18: Sample, VD2200046, Aortic_Aneurism, 2"	"Found in Sample: [S21] F21: Sample, VD2300002, Aortic_Aneurism, 1"	"Found in Sample: [S22] F22: Sample, VD2300002, Aortic_Aneurism, 2"	"Found in Sample: [S23] F23: Sample, VD2300004, Aortic_Aneurism, 1"	"Found in Sample: [S24] F24: Sample, VD2300004, Aortic_Aneurism, 2"	"Found in Sample: [S25] F25: Sample, VD2300023, Aortic_Aneurism, 1"	"Found in Sample: [S26] F26: Sample, VD2300023, Aortic_Aneurism, 2"	"Found in Sample: [S27] F27: Sample, VD2300050, Aortic_Aneurism, 1"	"Found in Sample: [S28] F28: Sample, VD2300050, Aortic_Aneurism, 2"	"Found in Sample: [S29] F29: Sample, VD2300066, Aortic_Aneurism, 1"	"Found in Sample: [S30] F30: Sample, VD2300066, Aortic_Aneurism, 2"	"Found in Sample: [S31] F31: Sample, VD2300083, Aortic_Aneurism, 1"	"Found in Sample: [S32] F32: Sample, VD2300083, Aortic_Aneurism, 2"	"Found in Sample: [S33] F33: Sample, VD2300087, Aortic_Aneurism, 1"	"Found in Sample: [S34] F34: Sample, VD2300087, Aortic_Aneurism, 2"	"Found in Sample: [S35] F35: Sample, VD2300117, Aortic_Aneurism, 1"	"Found in Sample: [S36] F36: Sample, VD2300117, Aortic_Aneurism, 2"	"Found in Sample: [S37] F37: Sample, VD2400050, Aortic_Aneurism, 1"	"Found in Sample: [S38] F38: Sample, VD2400050, Aortic_Aneurism, 2"	"Found in Sample: [S39] F39: Sample, VD2400066, Aortic_Aneurism, 1"	"Found in Sample: [S40] F40: Sample, VD2400066, Aortic_Aneurism, 2"	"Found in Sample: [S41] F41: Sample, FA1, Aortic_Aneurism, 1"	"Found in Sample: [S42] F42: Sample, FA1, Aortic_Aneurism, 2"	"Found in Sample: [S43] F43: Sample, FA3, Aortic_Aneurism, 1"	"Found in Sample: [S44] F44: Sample, FA3, Aortic_Aneurism, 2"	"Found in Sample: [S45] F45: Sample, FA5, Aortic_Aneurism, 1"	"Found in Sample: [S46] F46: Sample, FA5, Aortic_Aneurism, 2"	"Found in Sample: [S48] F48: Sample, FA6, Aortic_Aneurism, 2"	"Found in Sample: [S49] F49: Sample, FA7, Aortic_Aneurism, 1"	"Found in Sample: [S50] F50: Sample, FA7, Aortic_Aneurism, 2"	"Found in Sample: [S65] F65: Sample, FA6, Aortic_Aneurism, 1"	"Found in Sample: [S51] F51: Sample, SCALA50-----, Healthy, 1"	"Found in Sample: [S52] F52: Sample, SCALA50-----, Healthy, 2"	"Found in Sample: [S53] F53: Sample, 245AIT, Healthy, 1"	"Found in Sample: [S54] F54: Sample, 245AIT, Healthy, 2"	"Found in Sample: [S55] F55: Sample, 284AIT, Healthy, 1"	"Found in Sample: [S56] F56: Sample, 284AIT, Healthy, 2"	"Found in Sample: [S57] F57: Sample, 230AIT, Healthy, 1"	"Found in Sample: [S58] F58: Sample, 230AIT, Healthy, 2"	"Found in Sample: [S59] F59: Sample, 161FCP/FA, Healthy, 1"	"Found in Sample: [S60] F60: Sample, 161FCP/FA, Healthy, 2"	"Found in Sample: [S61] F61: Sample, 279TCFA/HR, Healthy, 1"	"Found in Sample: [S62] F62: Sample, 279TCFA/HR, Healthy, 2"	"Found in Sample: [S63] F63: Sample, 282HR, Healthy, 1"	"Found in Sample: [S64] F64: Sample, 282HR, Healthy, 2"	"# Protein Groups"	"Modifications"
"1970257073034718295"	"True"	"High"	"IsMasterProtein"	"Q6RW13"	"Type-1 angiotensin II receptor-associated protein"	"0.000"	"15.200"	"14"	"1"	"2"	"1"	"159"	"17.4"	"6.14"	""	"8.87"	""	"1"	"stress response;signal transduction;other biological processes"	"plasma membrane;other membranes;ER/Golgi;other cell component"	"other molecular function"	"Pf06396"	"57085"	"ENSG00000177674"	"AGTRAP"	"A8MVQ5; hsa:57085; Q5SNV4; Q5SNV5; Q6RW13; Q96AC0; Q96PL4; Q9NRW9"	""	"Signaling by BRAF and RAF1 fusions"	"1"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"81.33"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"7864399280568064191"	"True"	"High"	"IsMasterProtein"	"Q9BT23"	"LIM domain-containing protein 2"	"0.000"	"15.200"	"13"	"1"	"4"	"1"	"127"	"14.1"	"9.03"	"905.45"	"7.84"	"1"	"1"	"cell organization and biogenesis"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus"	"cytoskeletal activity;other molecular function"	"Pf00412"	"80774"	"ENSG00000136490"	"LIMD2"	"D3DU16; hsa:80774; Q96S91; Q9BT23"	""	""	"0"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"64.45"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	"Acetyl [N-Term]"
"4498463550983935945"	"True"	"High"	"IsMasterProtein"	"Q8NFZ8"	"Cell adhesion molecule 4"	"0.000"	"15.200"	"5"	"1"	"2"	"1"	"388"	"42.8"	"6.30"	"577.59"	"5.67"	"1"	"1"	"cell adhesion;cell organization and biogenesis;other biological processes"	"plasma membrane;other membranes;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf07686, Pf08205, Pf13927"	"199731"	"ENSG00000105767"	"CADM4"	"B2R7L5; hsa:199731; Q8NFZ8; Q9Y4A4"	""	""	"0"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"76.60"	""	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"3009753069702075689"	"True"	"High"	"IsMasterProtein"	"P02724"	"Glycophorin-A"	"0.000"	"15.200"	"23"	"1"	"1"	"1"	"150"	"16.3"	"5.47"	""	"6.05"	""	"1"	""	"other membranes"	""	""	""	""	"GYPA"	"X5M4Z9"	""	""	"0"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"91.65"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"6083245125138804483"	"True"	"High"	"IsMasterProtein"	"Q15027"	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"	"0.000"	"15.200"	"3"	"1"	"3"	"1"	"740"	"81.5"	"7.66"	""	"15.23"	""	"1"	"transport"	"other membranes;other cytoplasmic organelle"	"enzyme regulator activity;other molecular function"	"Pf00023, Pf00169, Pf01412, Pf16746"	"9744"	"ENSG00000072818; ENSG00000288169"	"ACAP1"	"hsa:9744; Q15027; Q53XN9"	"Nucleotide-binding oligomerization domain (NOD) pathway"	""	"1"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"80.24"	""	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"8376641896775859350"	"True"	"High"	"IsMasterProtein"	"O95104"	"SR-related and CTD-associated factor 4"	"0.000"	"15.200"	"2"	"1"	"1"	"1"	"1147"	"125.8"	"9.55"	""	"5.03"	""	"1"	"other biological processes"	"nucleus"	"nucleic acid binding activity;other molecular function"	"Pf00076, Pf04818"	"57466"	"ENSG00000156304"	"SCAF4"	"C9JLZ0; hsa:57466; O95104; Q0P5W8; Q6P1M5; Q8N3I8; Q9UFM1; Q9ULP8"	""	""	"0"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"51.87"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"5853240527723212968"	"True"	"High"	"IsMasterProtein"	"Q9H7Z7"	"Prostaglandin E synthase 2"	"0.000"	"15.032"	"6"	"2"	"6"	"2"	"377"	"41.9"	"9.16"	"624.18"	"6.14"	"2"	"2"	"other metabolic processes;transport;other biological processes"	"non-structural extracellular;other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"nucleic acid binding activity;other molecular function"	"Pf13417"	"80142"	"ENSG00000148334"	"PTGES2"	"hsa:80142; Q53EW9; Q5SYV6; Q96GI0; Q96GL2; Q9H7Z7"	"Relationship between inflammation, COX-2 and EGFR; Omega-6-fatty acids in senescence"	"Neutrophil degranulation; Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	"4"	"0"	"5.971"	"0.0197730352406299"	"124.79"	"159.4"	"40.6"	"123.42"	"55.30"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Not Found"	"Peak Found"	"1"	""
"8196142567442196869"	"True"	"High"	"IsMasterProtein"	"P20645"	"Cation-dependent mannose-6-phosphate receptor"	"0.000"	"14.924"	"6"	"1"	"2"	"1"	"277"	"31.0"	"5.83"	"413.84"	"4.03"	"1"	"1"	"other metabolic processes;transport"	"plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component"	"transporter activity;other molecular function"	"Pf02157"	"4074"	"ENSG00000003056"	"M6PR"	"A8K528; D3DUV5; hsa:4074; P20645"	""	"Glycosphingolipid catabolism; Retrograde transport at the Trans-Golgi-Network; Lysosome Vesicle Biogenesis; Cargo recognition for clathrin-mediated endocytosis"	"5"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"63.90"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-6278159202502235568"	"True"	"High"	"IsMasterProtein"	"Q9NQ79"	"Cartilage acidic protein 1"	"0.000"	"14.837"	"3"	"1"	"2"	"1"	"661"	"71.4"	"5.12"	""	"8.99"	""	"1"	"cell organization and biogenesis;developmental processes"	""	"other molecular function"	"Pf07593, Pf07645, Pf13517"	"55118"	"ENSG00000095713"	"CRTAC1"	"B1ALN4; hsa:55118; Q5T4F8; Q8N4H6; Q8TE52; Q9NQ78; Q9NQ79; Q9NQ80; Q9NW46"	""	""	"0"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"88.40"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-8998736333335138172"	"True"	"High"	"IsMasterProtein"	"Q08623"	"Pseudouridine-5'-phosphatase"	"0.000"	"14.413"	"8"	"1"	"2"	"1"	"228"	"25.2"	"5.31"	"426.89"	"3.79"	"1"	"1"	"other metabolic processes"	"cytosol"	"other molecular function"	"Pf13419"	"8226"	"ENSG00000130021"	"PUDP"	"B2R7X6; B4DV93; B7Z6Q3; E9PAV8; F5GWZ2; hsa:8226; Q08623; Q53F84; Q96EB8"	""	"Pyrimidine salvage"	"1"	"0"	"0.010"	"2.17559523809524E-16"	""	""	"200.0"	""	"28.17"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"1"	""
"123678814654628726"	"True"	"High"	"IsMasterProtein"	"P11597"	"Cholesteryl ester transfer protein"	"0.000"	"14.334"	"3"	"1"	"6"	"1"	"493"	"54.7"	"6.09"	"1122.25"	"11.27"	"1"	"1"	"cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"non-structural extracellular;other cell component"	"transporter activity;other molecular function"	"Pf01273, Pf02886"	"1071"	"ENSG00000087237"	"CETP"	"hsa:1071; P11597; Q13987; Q13988; Q53YZ1"	"Statin pathway; Lipid particles composition; Statin inhibition of cholesterol production; Metabolic pathway of LDL, HDL and TG, including diseases; IL18 signaling; Familial  hyperlipidemia type 1; Familial hyperlipidemia type 2; Familial hyperlipidemia type 3; Familial hyperlipidemia type 4; Familial hyperlipidemia type 5; Cholesterol metabolism"	"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux; HDL remodeling; LDL remodeling"	"14"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"45.00"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"5094540880880755021"	"True"	"High"	"IsMasterProtein"	"P10153"	"Non-secretory ribonuclease"	"0.000"	"14.081"	"9"	"1"	"16"	"1"	"161"	"18.3"	"8.73"	"2836.49"	"27.39"	"1"	"1"	"RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes"	"non-structural extracellular;other cytoplasmic organelle"	"nucleic acid binding activity;other molecular function"	"Pf00074"	"6036"	"ENSG00000169385"	"RNASE2"	"hsa:6036; P10153; Q52M39; Q9H2B7; Q9UCG7"	""	"Neutrophil degranulation"	"1"	"0"	"100.000"	"2.17559523809524E-16"	""	"200.0"	""	"79.22"	""	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"748867624032995252"	"True"	"High"	"IsMasterProtein"	"Q9H6S3"	"Epidermal growth factor receptor kinase substrate 8-like protein 2"	"0.000"	"13.949"	"3"	"1"	"2"	"1"	"715"	"80.6"	"6.84"	"385.42"	"4.53"	"1"	"1"	"signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity"	"Pf00018, Pf08416, Pf18016, Pf22975"	"64787"	"ENSG00000177106"	"EPS8L2"	"B3KSX1; B7ZKL3; hsa:64787; Q53GM8; Q8WYW7; Q96K06; Q9H6K9; Q9H6S3"	""	"Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea"	"2"	"0"	"0.010"	"2.17559523809524E-16"	""	""	"200.0"	""	"49.98"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
